ID,Title,Abstract,Journal,Language,Year,Month,Date,Author Names,Corresponding Author Email,All Affiliations,Academic Authors,Non-academic Authors
35503717,International League Against Epilepsy classification and definition of epilepsy syndromes with onset in childhood: Position paper by the ILAE Task Force on Nosology and Definitions.,"The 2017 International League Against Epilepsy classification has defined a three-tier system with epilepsy syndrome identification at the third level. Although a syndrome cannot be determined in all children with epilepsy, identification of a specific syndrome provides guidance on management and prognosis. In this paper, we describe the childhood onset epilepsy syndromes, most of which have both mandatory seizure type(s) and interictal electroencephalographic (EEG) features. Based on the 2017 Classification of Seizures and Epilepsies, some syndrome names have been updated using terms directly describing the seizure semiology. Epilepsy syndromes beginning in childhood have been divided into three categories: (1) self-limited focal epilepsies, comprising four syndromes: self-limited epilepsy with centrotemporal spikes, self-limited epilepsy with autonomic seizures, childhood occipital visual epilepsy, and photosensitive occipital lobe epilepsy; (2) generalized epilepsies, comprising three syndromes: childhood absence epilepsy, epilepsy with myoclonic absence, and epilepsy with eyelid myoclonia; and (3) developmental and/or epileptic encephalopathies, comprising five syndromes: epilepsy with myoclonic-atonic seizures, Lennox-Gastaut syndrome, developmental and/or epileptic encephalopathy with spike-and-wave activation in sleep, hemiconvulsion-hemiplegia-epilepsy syndrome, and febrile infection-related epilepsy syndrome. We define each, highlighting the mandatory seizure(s), EEG features, phenotypic variations, and findings from key investigations.",Epilepsia,eng,2022,Jun,No Data,Specchio Nicola; Wirrell Elaine C; Scheffer Ingrid E; Nabbout Rima; Riney Kate; Samia Pauline; Guerreiro Marilisa; Gwer Sam; Zuberi Sameer M; Wilmshurst Jo M; Yozawitz Elissa; Pressler Ronit; Hirsch Edouard; Wiebe Sam; Cross Helen J; Perucca Emilio; Moshé Solomon L; Tinuper Paolo; Auvin Stéphane,,"Rare and Complex Epilepsy Unit, Department of Neuroscience, Bambino Gesù Children's Hospital, Scientific Institute for Research and Health Care, Full Member of EpiCARE, Rome, Italy. Divisions of Child and Adolescent Neurology and Epilepsy, Department of Neurology, Mayo Clinic, Rochester, Minnesota, USA. Austin Health and Royal Children's Hospital, Florey Institute, Murdoch Children's Research Institute, University of Melbourne, Melbourne, Victoria, Australia. Reference Center for Rare Epilepsies, Department of Pediatric Neurology, Necker-Sick Children Hospital, Public Hospital Network of Paris, member of EpiCARE, Imagine Institute, National Institute of Health and Medical Research, Mixed Unit of Research 1163, University of Paris, Paris, France. Neurosciences Unit, Queensland Children's Hospital, South Brisbane, Queensland, Australia. Department of Pediatrics and Child Health, Aga Khan University, Nairobi, Kenya. Department of Neurology, University of Campinas, Campinas, Brazil. School of Medicine, Kenyatta University, and Afya Research Africa, Nairobi, Kenya. Paediatric Neurosciences Research Group, Royal Hospital for Children and Institute of Health & Wellbeing, member of EpiCARE, University of Glasgow, Glasgow, UK. Department of Paediatric Neurology, Red Cross War Memorial Children's Hospital, Neuroscience Institute, University of Cape Town, Cape Town, South Africa. Isabelle Rapin Division of Child Neurology of the Saul R. Korey Department of Neurology, Montefiore Medical Center, Bronx, New York, USA. Programme of Developmental Neurosciences, University College London National Institute for Health Research Biomedical Research Centre Great Ormond Street Institute of Child Health, Department of Clinical Neurophysiology, Great Ormond Street Hospital for Children, London, UK. Neurology Epilepsy Units ""Francis Rohmer"", INSERM 1258, FMTS, Strasbourg University, Strasbourg, France. Department of Clinical Neurosciences, University of Calgary, Calgary, Alberta, Canada. Programme of Developmental Neurosciences, University College London National Institute for Health Research Biomedical Research Centre Great Ormond Street Institute of Child Health, Great Ormond Street Hospital for Children, and Young Epilepsy Lingfield, London, UK. Department of Neuroscience, Monash University, Melbourne, Victoria, Australia. Isabelle Rapin Division of Child Neurology, Saul R. Korey Department of Neurology, and Departments of Neuroscience and Pediatrics, Albert Einstein College of Medicine and Montefiore Medical Center, Bronx, New York, USA. Department of Biomedical and Neuromotor Sciences, University of Bologna, Bologna, Italy. Robert Debré Hospital, Public Hospital Network of Paris, NeuroDiderot, National Institute of Health and Medical Research, Department Medico-Universitaire Innovation Robert-Debré, Pediatric Neurology, University of Paris, Paris, France.","Specchio Nicola (Rare and Complex Epilepsy Unit, Department of Neuroscience, Bambino Gesù Children's Hospital, Scientific Institute for Research and Health Care, Full Member of EpiCARE, Rome, Italy.); Wirrell Elaine C (Divisions of Child and Adolescent Neurology and Epilepsy, Department of Neurology, Mayo Clinic, Rochester, Minnesota, USA.); Scheffer Ingrid E (Austin Health and Royal Children's Hospital, Florey Institute, Murdoch Children's Research Institute, University of Melbourne, Melbourne, Victoria, Australia.); Nabbout Rima (Reference Center for Rare Epilepsies, Department of Pediatric Neurology, Necker-Sick Children Hospital, Public Hospital Network of Paris, member of EpiCARE, Imagine Institute, National Institute of Health and Medical Research, Mixed Unit of Research 1163, University of Paris, Paris, France.); Samia Pauline (Department of Pediatrics and Child Health, Aga Khan University, Nairobi, Kenya.); Guerreiro Marilisa (Department of Neurology, University of Campinas, Campinas, Brazil.); Gwer Sam (School of Medicine, Kenyatta University, and Afya Research Africa, Nairobi, Kenya.); Zuberi Sameer M (Paediatric Neurosciences Research Group, Royal Hospital for Children and Institute of Health & Wellbeing, member of EpiCARE, University of Glasgow, Glasgow, UK.); Wilmshurst Jo M (Department of Paediatric Neurology, Red Cross War Memorial Children's Hospital, Neuroscience Institute, University of Cape Town, Cape Town, South Africa.); Yozawitz Elissa (Isabelle Rapin Division of Child Neurology of the Saul R. Korey Department of Neurology, Montefiore Medical Center, Bronx, New York, USA.); Pressler Ronit (Programme of Developmental Neurosciences, University College London National Institute for Health Research Biomedical Research Centre Great Ormond Street Institute of Child Health, Department of Clinical Neurophysiology, Great Ormond Street Hospital for Children, London, UK.); Hirsch Edouard (Neurology Epilepsy Units ""Francis Rohmer"", INSERM 1258, FMTS, Strasbourg University, Strasbourg, France.); Wiebe Sam (Department of Clinical Neurosciences, University of Calgary, Calgary, Alberta, Canada.); Cross Helen J (Programme of Developmental Neurosciences, University College London National Institute for Health Research Biomedical Research Centre Great Ormond Street Institute of Child Health, Great Ormond Street Hospital for Children, and Young Epilepsy Lingfield, London, UK.); Perucca Emilio (Department of Neuroscience, Monash University, Melbourne, Victoria, Australia.); Moshé Solomon L (Isabelle Rapin Division of Child Neurology, Saul R. Korey Department of Neurology, and Departments of Neuroscience and Pediatrics, Albert Einstein College of Medicine and Montefiore Medical Center, Bronx, New York, USA.); Tinuper Paolo (Department of Biomedical and Neuromotor Sciences, University of Bologna, Bologna, Italy.); Auvin Stéphane (Robert Debré Hospital, Public Hospital Network of Paris, NeuroDiderot, National Institute of Health and Medical Research, Department Medico-Universitaire Innovation Robert-Debré, Pediatric Neurology, University of Paris, Paris, France.)","Riney Kate (Neurosciences Unit, Queensland Children's Hospital, South Brisbane, Queensland, Australia.)"
37804168,Scoping review and expert-based consensus recommendations for assessment and management of psychogenic non-epileptic (functional) seizures (PNES) in children: A report from the Pediatric Psychiatric Issues Task Force of the International League Against Epilepsy.,"Limited guidance exists regarding the assessment and management of psychogenic non-epileptic seizures (PNES) in children. Our aim was to develop consensus-based recommendations to fill this gap. The members of the International League Against Epilepsy (ILAE) Task Force on Pediatric Psychiatric Issues conducted a scoping review adhering to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses extension for Scoping Reviews (PRISMA-SR) standards. This was supplemented with a Delphi process sent to pediatric PNES experts. Consensus was defined as ≥80% agreement. The systematic search identified 77 studies, the majority (55%) of which were retrospective (only one randomized clinical trial). The primary means of PNES identification was video electroencephalography (vEEG) in 84% of studies. Better outcome was associated with access to counseling/psychological intervention. Children with PNES have more frequent psychiatric disorders than controls. The Delphi resulted in 22 recommendations: Assessment-There was consensus on the importance of (1) taking a comprehensive developmental history; (2) obtaining a description of the events; (3) asking about potential stressors; (4) the need to use vEEG if available parent, self, and school reports and video recordings can contribute to a ""probable"" diagnosis; and (5) that invasive provocation techniques or deceit should not be employed. Management-There was consensus about the (1) need for a professional with expertise in epilepsy to remain involved for a period after PNES diagnosis; (2) provision of appropriate educational materials to the child and caregivers; and (3) that the decision on treatment modality for PNES in children should consider the child's age, cognitive ability, and family factors. Comorbidities-There was consensus that all children with PNES should be screened for mental health and neurodevelopmental difficulties. Recommendations to facilitate the assessment and management of PNES in children were developed. Future directions to fill knowledge gaps were proposed.",Epilepsia,eng,2023,Dec,No Data,Reilly Colin; Jette Nathalie; Johnson Emma C; Kariuki Symon M; Meredith Francesca; Wirrell Elaine; Mula Marco; Smith Mary Lou; Walsh Samantha; Fong Choong Yi; Wilmshurst Jo M; Kerr Mike; Valente Kette; Auvin Stephane,,"Research Department, Young Epilepsy, Lingfield, UK. Department of Neurology, Icahn School of Medicine at Mount Sinia, New York City, New York, USA. Research Department, Young Epilepsy, Lingfield, UK. KEMRI-Wellcome Trust Research Trust Research Programme, Kilifi, Kenya. Department of Psychology, University of Bath, Bath, UK. Divisions of Child and Adolescent Neurology and Epilepsy, Department of Neurology, Mayo Clinic, Rochester, Minnesota, USA. IMBE, St George's University and the Atkinson Morley Regional Neuroscience Centre, St George's University Hospital, London, UK. Department of Psychology, University of Toronto Mississauga and Neurosciences and Mental Health Program, The Hospital for Sick Children, Toronto, Ontario, Canada. Levy Library, Icahn School of Medicine at Mount Sinai, New York City, New York, USA. Division of Paediatric Neurology, Department of Paediatrics, Faculty of Medicine, University of Malaya, Kuala Lumpur, Malaysia. Department of Paediatric Neurology, Red Cross War Memorial Children's Hospital, Neuroscience Institute, University of Cape Town, Cape Town, South Africa. Institute of Psychological Medicine and Clinical Neurosciences Cardiff University, Cardiff, UK. Clinical Neurophysiology Sector, University of São Paulo, Clinic Hospital (HCFMUSP), São Paulo, Brazil. Université Paris Cité, INSERM NeuroDiderot, Paris, France.","Reilly Colin (Research Department, Young Epilepsy, Lingfield, UK.); Jette Nathalie (Department of Neurology, Icahn School of Medicine at Mount Sinia, New York City, New York, USA.); Johnson Emma C (Research Department, Young Epilepsy, Lingfield, UK.); Kariuki Symon M (KEMRI-Wellcome Trust Research Trust Research Programme, Kilifi, Kenya.); Meredith Francesca (Department of Psychology, University of Bath, Bath, UK.); Wirrell Elaine (Divisions of Child and Adolescent Neurology and Epilepsy, Department of Neurology, Mayo Clinic, Rochester, Minnesota, USA.); Mula Marco (IMBE, St George's University and the Atkinson Morley Regional Neuroscience Centre, St George's University Hospital, London, UK.); Smith Mary Lou (Department of Psychology, University of Toronto Mississauga and Neurosciences and Mental Health Program, The Hospital for Sick Children, Toronto, Ontario, Canada.); Walsh Samantha (Levy Library, Icahn School of Medicine at Mount Sinai, New York City, New York, USA.); Fong Choong Yi (Division of Paediatric Neurology, Department of Paediatrics, Faculty of Medicine, University of Malaya, Kuala Lumpur, Malaysia.); Wilmshurst Jo M (Department of Paediatric Neurology, Red Cross War Memorial Children's Hospital, Neuroscience Institute, University of Cape Town, Cape Town, South Africa.); Kerr Mike (Institute of Psychological Medicine and Clinical Neurosciences Cardiff University, Cardiff, UK.); Valente Kette (Clinical Neurophysiology Sector, University of São Paulo, Clinic Hospital (HCFMUSP), São Paulo, Brazil.)","Auvin Stephane (Université Paris Cité, INSERM NeuroDiderot, Paris, France.)"
32611798,Seizures in Children.,"Epilepsy is one of the most common neurologic disorders seen in children, with the highest incidence in the first year of life. Diagnostic accuracy can be challenging because many seizure mimics must be considered. Electroencephalography and neuroimaging can be critical in determining etiology and syndrome. Genetic testing is a high-yield endeavor, particularly in early-life epilepsies. Up to one-fourth of children with epilepsy will develop drug-resistant seizures. Comorbidities are very common in children with epilepsy, including intellectual disability in 25% and learning disability and attention-deficit/hyperactivity disorder in a significant minority. These comorbidities must be recognized and addressed as part of the child's overall care.",Pediatrics in review,eng,2020,Jul,No Data,Fine Anthony; Wirrell Elaine C,,"Division of Epilepsy and Division of Child and Adolescent Neurology, Department of Neurology, Mayo Clinic, Rochester, MN. Division of Epilepsy and Division of Child and Adolescent Neurology, Department of Neurology, Mayo Clinic, Rochester, MN.","Fine Anthony (Division of Epilepsy and Division of Child and Adolescent Neurology, Department of Neurology, Mayo Clinic, Rochester, MN.); Wirrell Elaine C (Division of Epilepsy and Division of Child and Adolescent Neurology, Department of Neurology, Mayo Clinic, Rochester, MN.)",
36069073,"Sleep homeostasis, seizures, and cognition in children with focal epilepsy.","To investigate the link between sleep disruption and cognitive impairment in childhood epilepsy by studying the effect of epilepsy on sleep homeostasis, as reflected in slow-wave activity (SWA).",Developmental medicine and child neurology,eng,2023,May,No Data,Eriksson Maria H; Baldeweg Torsten; Pressler Ronit; Boyd Stewart G; Huber Reto; Cross J Helen; Bölsterli Bigna K; Chan Samantha Y S,,"Developmental Neurosciences Research & Teaching Department, UCL Great Ormond Street Institute of Child Health, London, UK. Developmental Neurosciences Research & Teaching Department, UCL Great Ormond Street Institute of Child Health, London, UK. Neurophysiology, Great Ormond Street Hospital NHS Trust, London, UK. Neurophysiology, Great Ormond Street Hospital NHS Trust, London, UK. Children's Research Center, University Children's Hospital Zurich, Zurich, Switzerland. Developmental Neurosciences Research & Teaching Department, UCL Great Ormond Street Institute of Child Health, London, UK. Children's Research Center, University Children's Hospital Zurich, Zurich, Switzerland. Developmental Neurosciences Research & Teaching Department, UCL Great Ormond Street Institute of Child Health, London, UK.","Eriksson Maria H (Developmental Neurosciences Research & Teaching Department, UCL Great Ormond Street Institute of Child Health, London, UK.); Baldeweg Torsten (Developmental Neurosciences Research & Teaching Department, UCL Great Ormond Street Institute of Child Health, London, UK.); Huber Reto (Children's Research Center, University Children's Hospital Zurich, Zurich, Switzerland.); Cross J Helen (Developmental Neurosciences Research & Teaching Department, UCL Great Ormond Street Institute of Child Health, London, UK.); Bölsterli Bigna K (Children's Research Center, University Children's Hospital Zurich, Zurich, Switzerland.); Chan Samantha Y S (Developmental Neurosciences Research & Teaching Department, UCL Great Ormond Street Institute of Child Health, London, UK.)","Pressler Ronit (Neurophysiology, Great Ormond Street Hospital NHS Trust, London, UK.); Boyd Stewart G (Neurophysiology, Great Ormond Street Hospital NHS Trust, London, UK.)"
32320930,Parents' and children's decision-making and experiences in pediatric epilepsy surgery.,"In pediatric epilepsy surgery, little research has been conducted on parents' decision-making for or against surgery, their satisfaction with the surgical outcome, as well as their children's personal experiences with the process.",Epilepsy & behavior : E&B,eng,2020,Jun,No Data,Bach Quynh; Thomale Ulrich-Wilhelm; Müller Sabine,quynh.bach@charite.de.,"Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Department of Psychiatry and Psychotherapy, CCM, Research Division of Mind and Brain, Charitéplatz 1, 10117 Berlin, Germany. Electronic address: quynh.bach@charite.de. Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Pediatric Neurosurgery, CVK, Augustenburger Platz 1, 13353 Berlin, Germany. Electronic address: ulrich-wilhelm.thomale@charite.de. Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Department of Psychiatry and Psychotherapy, CCM, Research Division of Mind and Brain, Charitéplatz 1, 10117 Berlin, Germany. Electronic address: mueller.sabine@charite.de.","Bach Quynh (Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Department of Psychiatry and Psychotherapy, CCM, Research Division of Mind and Brain, Charitéplatz 1, 10117 Berlin, Germany. Electronic address: quynh.bach@charite.de.); Thomale Ulrich-Wilhelm (Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Pediatric Neurosurgery, CVK, Augustenburger Platz 1, 13353 Berlin, Germany. Electronic address: ulrich-wilhelm.thomale@charite.de.); Müller Sabine (Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Department of Psychiatry and Psychotherapy, CCM, Research Division of Mind and Brain, Charitéplatz 1, 10117 Berlin, Germany. Electronic address: mueller.sabine@charite.de.)",
34305005,Evaluation and management of drug resistant epilepsy in children.,"Epilepsy is one of the most common neurological conditions in children. Most children with epilepsy respond to anti- epileptic drugs (AEDs) but approximately 30% of children develop drug resistant epilepsy (DRE) defined as 'the failure of adequate trials of two tolerated, appropriately chosen and used anti-epileptic drugs (AEDs)'. DRE is associated with serious consequences including higher mortality and worse cognitive outcomes. DRE impacts several aspects of the child's and the caregiver's life.",Current problems in pediatric and adolescent health care,eng,2021,Jul,No Data,Kumar Gogi,kumarg@childrensdayton.org.,"Dayton Children Hospital, Wright State University Boonshoft School of Medicine, 1 Children's Plaza, Dayton Ohio 45404. Electronic address: kumarg@childrensdayton.org.","Kumar Gogi (Dayton Children Hospital, Wright State University Boonshoft School of Medicine, 1 Children's Plaza, Dayton Ohio 45404. Electronic address: kumarg@childrensdayton.org.)",
38168600,"Diagnosis, epilepsy treatment and supports for neurodevelopment in children with Dravet Syndrome: Caregiver reported experiences and needs.","Dravet syndrome is a rare infantile onset epilepsy syndrome encompassing treatment resistant epilepsy and neurodevelopmental difficulties. There is limited data regarding caregiver experiences of diagnosis, treatment and supports for the associated neurodevelopmental problems.",Epilepsy & behavior : E&B,eng,2024,Feb,No Data,Soto Jansson Josefin; Bjurulf Björn; Dellenmark Blom Michaela; Hallböök Tove; Reilly Colin,colin.reilly@gu.se.,"Queen Silvia Children's Hospital, Sahlgrenska University Hospital, Gothenburg, Sweden; Member of the ERN EpiCARE, 413 45 Gothenburg, Sweden. Queen Silvia Children's Hospital, Sahlgrenska University Hospital, Gothenburg, Sweden; Member of the ERN EpiCARE, 413 45 Gothenburg, Sweden; Dept. of Paediatrics, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden. Queen Silvia Children's Hospital, Sahlgrenska University Hospital, Gothenburg, Sweden; Member of the ERN EpiCARE, 413 45 Gothenburg, Sweden; Dept. of Paediatrics, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden. Queen Silvia Children's Hospital, Sahlgrenska University Hospital, Gothenburg, Sweden; Member of the ERN EpiCARE, 413 45 Gothenburg, Sweden; Dept. of Paediatrics, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden. Queen Silvia Children's Hospital, Sahlgrenska University Hospital, Gothenburg, Sweden; Member of the ERN EpiCARE, 413 45 Gothenburg, Sweden; Dept. of Paediatrics, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden. Electronic address: colin.reilly@gu.se.","Soto Jansson Josefin (Queen Silvia Children's Hospital, Sahlgrenska University Hospital, Gothenburg, Sweden; Member of the ERN EpiCARE, 413 45 Gothenburg, Sweden.); Bjurulf Björn (Queen Silvia Children's Hospital, Sahlgrenska University Hospital, Gothenburg, Sweden; Member of the ERN EpiCARE, 413 45 Gothenburg, Sweden; Dept. of Paediatrics, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.); Dellenmark Blom Michaela (Queen Silvia Children's Hospital, Sahlgrenska University Hospital, Gothenburg, Sweden; Member of the ERN EpiCARE, 413 45 Gothenburg, Sweden; Dept. of Paediatrics, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.); Hallböök Tove (Queen Silvia Children's Hospital, Sahlgrenska University Hospital, Gothenburg, Sweden; Member of the ERN EpiCARE, 413 45 Gothenburg, Sweden; Dept. of Paediatrics, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.); Reilly Colin (Queen Silvia Children's Hospital, Sahlgrenska University Hospital, Gothenburg, Sweden; Member of the ERN EpiCARE, 413 45 Gothenburg, Sweden; Dept. of Paediatrics, Institute of Clinical Sciences, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden. Electronic address: colin.reilly@gu.se.)",
35206465,The Quality of Life of Children with Epilepsy and the Impact of the Disease on the Family Functioning.,"Epilepsy is a neurological chronic disease, which negatively affects physical, psychological and social functioning of children and their families. The main objective of this study was to assess the quality of life (QoL) in children with diagnosed epilepsy and the impact of a child's disease on the functioning of the family.",International journal of environmental research and public health,eng,2022,Feb,17,Rozensztrauch Anna; Kołtuniuk Aleksandra,,"Department of Nursing and Obstetrics, Division of Family and Pediatric Nursing, Wroclaw Medical University, Poland 1, 51-618 Wrocław, Poland. Department of Nursing and Obstetrics, Division of Internal Medicine Nursing, Wroclaw Medical University, Poland 1, 51-618 Wrocław, Poland.","Rozensztrauch Anna (Department of Nursing and Obstetrics, Division of Family and Pediatric Nursing, Wroclaw Medical University, Poland 1, 51-618 Wrocław, Poland.); Kołtuniuk Aleksandra (Department of Nursing and Obstetrics, Division of Internal Medicine Nursing, Wroclaw Medical University, Poland 1, 51-618 Wrocław, Poland.)",
28488608,Epilepsy surgery in children.,"Approximately 60% of all patients with epilepsy suffer from focal epilepsy syndromes. In approximately 15% of these patients, the seizures are not adequately controlled with anticonvulsive drugs, and such patients are potential candidates for surgical treatment and majority are children. Epilepsy surgery in children, who have been carefully chosen, can result in either seizure freedom or a marked (>90%) reduction in seizures in approximately two-third of children with intractable seizures. In the multimodality presurgical evaluation approach, sufficient concordance should be established among various independent investigations, thus identifying the location and extent of the epileptogenic zone with a high degree of confidence. Early surgery improves the quality of life and cognitive and developmental outcome of the child. Surgically remediable epilepsies in children should be identified early and include temporal lobe epilepsy with focal lesions, lesional extratemporal epilepsies, hemispherical epilepsies, and gelastic epilepsy with hypothalamic hamartoma, and can be treated by resective or disconnection surgery. Palliative procedures include corpus callosotomy and vagal nerve stimulation for children with diffuse and multifocal epilepsies, who are not candidates for resective surgery. Deep brain stimulation in patients with epilepsy is still under evaluation. For children with ""surgically remedial epilepsy,"" surgery should be offered as a procedure of choice rather than as a treatment of last resort.",Neurology India,eng,2017,No Data,No Data,Jayalakshmi Sita; Vooturi Sudhindra; Gupta Swapan; Panigrahi Manas,,"Department of Neurology, Krishna Institute of Medical Sciences, Secunderabad, Telangana, India. Department of Neurology, Krishna Institute of Medical Sciences, Secunderabad, Telangana, India. Department of Neurology, Krishna Institute of Medical Sciences, Secunderabad, Telangana, India. Department of Neurosurgery, Krishna Institute of Medical Sciences, Secunderabad, Telangana, India.","Jayalakshmi Sita (Department of Neurology, Krishna Institute of Medical Sciences, Secunderabad, Telangana, India.); Vooturi Sudhindra (Department of Neurology, Krishna Institute of Medical Sciences, Secunderabad, Telangana, India.); Gupta Swapan (Department of Neurology, Krishna Institute of Medical Sciences, Secunderabad, Telangana, India.); Panigrahi Manas (Department of Neurosurgery, Krishna Institute of Medical Sciences, Secunderabad, Telangana, India.)",
38294487,[Epilepsy in children and adults. Part 1. Childhood epilepsy].,No Abstract,La Revue du praticien,fre,2023,Dec,No Data,Baer Sarah; de Saint-Martin Anne,,"Neurologie pédiatrique, Hôpitaux universitaires de Strasbourg. Neurologie pédiatrique, Hôpitaux universitaires de Strasbourg.",,"Baer Sarah (Neurologie pédiatrique, Hôpitaux universitaires de Strasbourg.); de Saint-Martin Anne (Neurologie pédiatrique, Hôpitaux universitaires de Strasbourg.)"
